IdProducto;DescripcionLarga;Clase ;Talla ;Color ;PrecioCosto;PrecioPublico1;Fracción ;Fab/Marca;IdProducto2;Cod Color; Vigencia Inicial;Grupo Destino
10688;TACTIL PARA CELULAR ALCATEL  M POP 5020;;;;47600;60000;;;10688;;;______________________
10679;TACTIL PARA CELULAR ALCATEL  POP 3;;;;47600;70000;;;10679;;;______________________
10687;TACTIL PARA CELULAR ALCATEL  POP C1 TA4015;;;;47600;55000;;;10687;;;______________________
10685;TACTIL PARA CELULAR ALCATEL C5;;;;47600;60000;;;10685;;;______________________
10680;TACTIL PARA CELULAR ALCATEL C7;;;;47600;60000;;;10680;;;______________________
10691;TACTIL PARA CELULAR ALCATEL IDOL 2;;;;71400;90000;;;10691;;;______________________
10692;TACTIL PARA CELULAR ALCATEL IDOL 6030 A;;;;55000;70000;;;10692;;;______________________
10689;TACTIL PARA CELULAR ALCATEL IDOL MINI;;;;59500;70000;;;10689;;;______________________
10690;TACTIL PARA CELULAR ALCATEL IDOL MINI 6020;;;;59500;70000;;;10690;;;______________________
10681;TACTIL PARA CELULAR ALCATEL PIXXI 3.5;;;;47600;60000;;;10681;;;______________________
11716;"TACTIL PARA CELULAR ALCATEL PIXXI 4 DE 5"" 5010G";;;;20000;60000;;;11716;;;______________________
10684;TACTIL PARA CELULAR ALCATEL PIXXI 4.0;;;;47600;60000;;;10684;;;______________________
10686;TACTIL PARA CELULAR ALCATEL POP C3 TA 4033;;;;47600;60000;;;10686;;;______________________
10804;TACTIL PARA CELULAR ALCATEL POP C5;;;;41650;60000;;;10804;;;______________________
10789;TACTIL PARA CELULAR ALCATEL T POP 4010;;;;35000;50000;;;10789;;;______________________
11221;TACTIL PARA CELULAR ALCATEL U3;;;;20000;55000;;;11221;;;______________________
10709;TACTIL PARA CELULAR AVVIO  750;;;;47600;60000;;;10709;;;______________________
10707;TACTIL PARA CELULAR AVVIO  751;;;;47600;50000;;;10707;;;______________________
10705;TACTIL PARA CELULAR AVVIO  753;;;;47600;60000;;;10705;;;______________________
10706;TACTIL PARA CELULAR AVVIO  765;;;;40000;50000;;;10706;;;______________________
10703;TACTIL PARA CELULAR AVVIO  768;;;;47600;60000;;;10703;;;______________________
10704;TACTIL PARA CELULAR AVVIO  774;;;;47600;60000;;;10704;;;______________________
10708;TACTIL PARA CELULAR AVVIO  775;;;;47600;60000;;;10708;;;______________________
10693;TACTIL PARA CELULAR AVVIO  776;;;;47600;60000;;;10693;;;______________________
10694;TACTIL PARA CELULAR AVVIO  777;;;;47600;60000;;;10694;;;______________________
10698;TACTIL PARA CELULAR AVVIO  778;;;;47600;60000;;;10698;;;______________________
10695;TACTIL PARA CELULAR AVVIO  786;;;;47600;65000;;;10695;;;______________________
10700;TACTIL PARA CELULAR AVVIO  787;;;;47600;60000;;;10700;;;______________________
10701;TACTIL PARA CELULAR AVVIO  792;;;;47600;65000;;;10701;;;______________________
10696;TACTIL PARA CELULAR AVVIO  793;;;;47600;60000;;;10696;;;______________________
10702;TACTIL PARA CELULAR AVVIO  795;;;;47600;70000;;;10702;;;______________________
10699;TACTIL PARA CELULAR AVVIO  L600;;;;47600;70000;;;10699;;;______________________
10711;TACTIL PARA CELULAR AVVIO  L640;;;;47600;60000;;;10711;;;______________________
10710;TACTIL PARA CELULAR AVVIO  L800;;;;47600;70000;;;10710;;;______________________
